BMI,SelfEsteem,Accu,DietSE,Restrictive,Bulimia,Risk
0.376972125,0.068522598,1.782210274,-0.054369523,-0.525142422,0.432227182,0.507947146
0.301548374,-0.305887574,0.490985655,-2.3956901,2.067186705,0.195976527,0.909960979
-1.098023171,1.47545435,-0.681982706,0.16801384,0.36387505,-1.433765591,-0.776780448
-1.130405904,-0.132929013,2.22352234,1.185059593,-1.655751945,-0.674844645,-0.554117333
-2.79653432,1.353780364,0.892268719,0.51311551,0.743186021,-0.857573324,-0.313856308
0.720573498,-1.936146242,-1.030770387,0.797491188,-1.860914262,0.329016267,0.080128331
0.939121023,-0.334980739,0.339219795,0.763771326,0.023318428,-0.115498348,0.14236619
-0.229377747,-0.210215531,-1.165110496,-0.647385275,1.50888635,0.316201224,0.552830744
1.759131347,-0.713226705,-0.189321378,2.003644205,0.907302577,-0.146204243,0.930485896
0.117366787,0.095993662,-1.374817263,0.910621984,0.573695694,0.134086061,0.359447242
-0.853122822,-0.206020394,0.198550416,2.181250262,0.959208181,-0.136464303,0.292327349
0.909259182,-0.162392917,-0.721275277,-1.420989057,0.266204317,-0.719470647,-0.748094907
1.19637296,-0.192243436,-0.56231649,0.62648442,-0.770366942,-0.632825622,-0.723360159
-0.371583904,-0.5354597,0.395696741,1.505017557,0.101916994,-0.825944356,0.140515121
-0.123260233,-1.068675014,-0.415274472,0.675343265,-2.021585545,-2.05642571,-2.385702707
1.800043117,-0.401187334,-1.731905967,1.604208365,1.030524108,1.57385837,2.276787485
1.703995877,1.309345496,0.884919819,-0.284397398,-0.186820188,0.489687222,0.31145643
-3.038764605,1.007951175,-0.184876941,0.830097889,-0.15673651,-0.363538843,-0.204979119
-2.28897495,0.193017499,-0.710319536,0.854078981,-0.113761013,-2.080246765,-1.56114253
0.058303495,1.415388293,0.50493371,1.393057967,-1.006859253,-1.523230695,-1.13661525
2.174365252,-1.554758289,1.583251999,-0.459608101,-0.341388894,1.033721482,0.404382874
1.098182654,0.722000918,0.30547026,-0.788762163,-0.98352588,0.765324725,-0.014115266
0.318220322,-0.877038974,-1.50826664,0.068681745,1.615908193,2.557285018,2.7222048
-0.073147558,-0.055736994,2.281354707,-0.321182904,-0.398349318,-2.057755263,-1.558555391
